zip_code,brand,product_name,price,sale_price,snap_eligible
94110,"365 by Whole Foods Market","365 by Whole Foods Market Sharp Cheddar Cheese Shreds, 8 OZ",$3.19,None,True
94110,"Calabro Cheese","Calabro Ricotta Whole Milk, 16 oz",$6.99,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Oatmeal Creme Cookie Oat Milk Frozen Dessert, 1 PT",$5.00,None,True
94110,"SO DELICIOUS","So Delicious Dairy Free Coconut Milk Frozen Dessert, Vanilla Bean, No Sugar Added, Vegan, Non-GMO Project Verified, 1 Pint",$7.39,None,True
94110,"365 by Whole Foods Market","Real Dairy Whipped Cream, 7 oz",$3.29,None,True
94110,"Little Leaf Farms","Little Leaf Farms Crispy Baby Locally grown, Green Leaf Lettuce, 4 Ounce",$3.79,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Sweet Hawaiian Rolls, 16 OZ",0.00,None,False
94110,"Dave's Killer Bread","Dave's Killer Bread 21 Whole Grains and Seeds, Whole Grain Organic Bread, 27 oz Loaf",$7.49,None,True
94110,"Alden's","French Vanilla Ice Cream, 48 oz (Frozen)",$11.99,None,True
94110,"Dave's Killer Bread","Dave's Killer Bread Raisin' the Roof!, Cinnamon Raisin Organic Breakfast Bread, 18 oz Loaf",$7.49,None,True
94110,"365 by Whole Foods Market","Classic English Muffins, 15 oz",$2.29,None,True
94110,"Kashi","Kashi Breakfast Cereal, Organic, Whole Grain, Honey Toasted, 13.6oz Box (1 Box)",$8.49,None,True
94110,"365 by Whole Foods Market","365 By Whole Foods Market, Organic Hummus, Roasted Red Pepper, 8 Ounce",$3.19,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Organic Baby Arugula Salad, 5 OZ",$3.39,None,True
94110,"Celestial Seasonings","Celestial Seasonings Cold Brew Sweetened Tea with Lemon Iced Tea 18 Tea Bags",$5.19,None,True
94110,"The Republic of Tea","The Republic of Tea - Ginger Peach Black Tea, Caffeinated, 50 Count",$10.99,None,True
94110,"Cascadian Farm","Cascadian Farm Honey Oat Crunch Organic Cereal, Made with Whole Grain, 13.5 oz",$5.59,$4.34,True
94110,"The Republic of Tea","The Republic of Tea — Organic Moringa SuperHerb Tea Tin, 36 Herbal Tea Bags, Naturally Caffeine-Free",$13.29,None,False
94110,"The Republic of Tea","The Republic of Tea - Organic Milk Thistle SuperHerb Tea Tin, 36 Herbal Tea Bags, Naturally Caffeine-Free",$13.29,None,False
94110,"365 by Whole Foods Market","Organic Seafood Spice Rub, 4.4 Ounce",$4.39,None,True
94110,"Whole Foods Market","Oven Roasted Turkey Breast",None,None,False
94110,"R.W. Knudsen","R.W. Knudsen Family Organic Cranberry Pomegranate Juice Blend, 32 Ounces",$5.49,None,True
94110,"Fresh Produce","Fruit Mix Value Pack",0.00,None,False
94110,"365 by Whole Foods Market","365 by Whole Foods Market, Organic Light Butter Microwave Popcorn, 9 Ounce",$3.29,None,True
94110,"365 by Whole Foods Market","Organic Balsamic Vinaigrette, 16 Fl Oz",$3.39,None,True
94110,"365 by Whole Foods Market","Skipjack Tuna in Water No Salt Added, 30 Ounce, 6 Pack",$12.99,None,True
94110,"Crispy Green","Strawberry Freeze Dried, 2.12 Ounce",0.00,None,False
94110,"Truvia","Truvia Sweet Complete Granulated All-Purpose Calorie-Free Sweetener from the Stevia Leaf, 16 oz Bag (Pack of 1)",0.00,None,False
94110,"WHOLE FOODS KITCHENS","Whole Foods Kitchens Harvest Lentil Soup, 24 Oz",$8.49,None,True
94110,"Effie's Homemade","Effie's Homemade Biscuits - Pecan - 1 Pack",$7.99,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Butter Pecan Ice Cream, 1 PT",$3.69,None,True
94110,"365 by Whole Foods Market","365 by Whole Foods Market Macaroni & Cheese, 15 OZ",$5.99,None,True
